,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
122,"[9, 8]","[10, 13]","[5, 2]","[16, 2]",0.00017091589098451376,"[0.9656683802604675, 0.9656683802604675]"
123,[6],[3],[10],[128],0.009853330156821044,"[0.2075720578432083, 0.2075720578432083]"
124,"[9, 8, 3, 2, 1]","[4, 13, 13, 15, 24]","[8, 7, 6, 5, 1]","[64, 32]",1.4678437968449963e-05,"[1.0799379348754883, 1.0799379348754883]"
125,"[9, 7, 5, 4, 3]","[5, 19, 19, 23, 24]","[10, 8, 5, 5, 1]","[32, 4]",3.983339198929269e-05,"[0.9850863814353943, 0.9850863814353943]"
126,"[8, 5, 1]","[18, 23, 23]","[6, 2, 2]","[64, 16, 8]",0.011334677211040853,"[1.1019304990768433, 1.1019304990768433]"
127,"[9, 2, 1]","[1, 14, 17]","[6, 5, 2]","[16, 4]",0.0009645522779413063,"[1.053494930267334, 1.053494930267334]"
128,"[9, 5, 4, 4]","[5, 8, 11, 14]","[10, 9, 3, 2]","[32, 2]",0.08357126454368438,"[1.1692806482315063, 1.1692806482315063]"
129,"[9, 9, 8, 4, 3]","[4, 5, 6, 19, 22]","[8, 7, 5, 3, 1]","[128, 64]",4.867355602206295e-05,"[0.9832758903503418, 0.9832758903503418]"
130,"[9, 7, 5, 5, 2]","[7, 10, 10, 16, 24]","[8, 7, 5, 4, 1]","[64, 16]",5.6054429583168505e-05,"[0.9923776984214783, 0.9923776984214783]"
131,"[10, 4, 2]","[4, 16, 16]","[9, 3, 1]",[8],5.616085194447486e-05,"[0.9839159846305847, 0.9839159846305847]"
132,"[9, 5]","[20, 24]","[8, 7]","[64, 8, 4]",0.0023827960833618495,"[0.7776194214820862, 0.7776194214820862]"
133,"[7, 5, 3]","[1, 15, 23]","[9, 8, 3]",[4],0.0006335987226397979,"[0.9473368525505066, 0.9473368525505066]"
134,"[8, 6, 6, 4]","[8, 11, 18, 18]","[6, 4, 3, 3]","[32, 16, 8]",0.00042823408725911887,"[0.9447129964828491, 0.9447129964828491]"
135,"[9, 8, 7, 6, 3]","[5, 15, 15, 21, 22]","[5, 4, 3, 2, 2]","[128, 8]",0.0059556558432426404,"[0.3496433198451996, 0.3496433198451996]"
136,"[9, 9, 5, 2, 1]","[1, 7, 9, 17, 18]","[10, 8, 7, 7, 2]","[8, 2]",0.0005163810980131487,"[0.9716113805770874, 0.9716113805770874]"
137,"[9, 7]","[1, 23]","[9, 6]",[64],0.00023431057543349664,"[0.9695915579795837, 0.9695915579795837]"
138,"[9, 9, 5, 4, 1]","[5, 7, 7, 21, 24]","[10, 5, 5, 5, 1]","[64, 32, 8]",0.0719985343535627,"[0.9875737428665161, 0.9875737428665161]"
139,[4],[19],[9],"[64, 64, 64]",0.07621772802666499,"[0.9937409162521362, 0.9937409162521362]"
140,[10],[16],[8],"[128, 32]",0.010988416362634632,"[0.8099946975708008, 0.8099946975708008]"
141,"[10, 9, 7, 7, 1]","[13, 15, 16, 17, 19]","[6, 6, 2, 2, 1]","[32, 2]",0.0022762397183158905,"[0.4689196050167084, 0.4689196050167084]"
142,"[9, 9, 7, 7, 3]","[1, 4, 10, 11, 21]","[10, 9, 5, 1, 1]",[128],0.013350995762905613,"[0.5265772342681885, 0.5265772342681885]"
143,"[10, 2]","[7, 12]","[7, 3]",[4],0.0006854498606361105,"[0.9032337665557861, 0.9032337665557861]"
144,"[8, 8, 4, 3]","[2, 9, 10, 22]","[8, 4, 2, 1]",[32],0.00031593671693406534,"[0.9560785889625549, 0.9560785889625549]"
145,"[7, 7, 1]","[5, 13, 19]","[9, 5, 1]","[128, 64, 32]",0.00033233560900537343,"[0.9678629636764526, 0.9678629636764526]"
146,"[10, 4, 3, 3, 1]","[8, 12, 22, 23, 24]","[8, 6, 5, 3, 2]","[64, 16]",0.0007070576836384256,"[0.9034181237220764, 0.9034181237220764]"
147,[1],[3],[2],[128],0.0010739556931884386,"[0.8705500960350037, 0.8705500960350037]"
148,[5],[24],[6],"[16, 8]",0.000269883925455504,"[0.9807366728782654, 0.9807366728782654]"
149,"[8, 3, 2, 1]","[1, 2, 4, 20]","[6, 6, 6, 3]","[128, 32, 8]",2.0534792938457987e-05,"[0.9816076755523682, 0.9816076755523682]"
150,"[9, 6]","[14, 21]","[7, 4]",[8],0.04848703297220801,"[0.975028395652771, 0.975028395652771]"
151,[4],[15],[10],[16],0.00013746819933876435,"[0.9760723114013672, 0.9760723114013672]"
152,[4],[21],[4],[128],1.1323752548755054e-05,"[3.2637016773223877, 3.2637016773223877]"
153,"[7, 7, 6, 6, 4]","[6, 8, 11, 13, 16]","[10, 9, 8, 3, 1]",[4],0.056117489095379926,"[0.9188976883888245, 0.9188976883888245]"
154,"[10, 10, 10, 2]","[7, 11, 21, 22]","[7, 4, 3, 2]",[4],0.04553575217274072,"[0.9748108386993408, 0.9748108386993408]"
155,"[6, 1]","[15, 15]","[9, 5]",[2],0.00032663633290279566,"[0.989540696144104, 0.989540696144104]"
156,"[10, 9, 5]","[1, 14, 18]","[7, 4, 1]","[2, 2]",1.6305065773291206e-05,"[0.9820001125335693, 0.9820001125335693]"
157,"[7, 6, 4, 1]","[4, 6, 8, 20]","[10, 6, 6, 4]","[8, 2, 2]",0.0006091427877143131,"[0.9444963335990906, 0.9444963335990906]"
158,"[9, 2]","[4, 8]","[6, 3]","[64, 16]",0.00040890335457325884,"[1.0851222276687622, 1.0851222276687622]"
159,"[7, 2]","[12, 20]","[10, 4]","[32, 8]",1.496695920652746e-05,"[0.9805435538291931, 0.9805435538291931]"
160,"[5, 4, 3, 3]","[4, 5, 18, 22]","[7, 5, 5, 3]","[16, 16, 4]",0.0003090817738763095,"[0.9848440289497375, 0.9848440289497375]"
